iter	Logloss
0	0.678860511
1	0.6644384681
2	0.6511961958
3	0.6381278394
4	0.6262461228
5	0.6150537691
6	0.6042991113
7	0.5948226488
8	0.5862227689
9	0.5769909854
10	0.568012983
11	0.559789859
12	0.5522596569
13	0.5457636047
14	0.5391464845
15	0.5329313525
16	0.5269393406
17	0.5212449699
18	0.5155555671
19	0.5106875728
20	0.5060800428
21	0.5015660447
22	0.4970235464
23	0.4929717255
24	0.4895293423
25	0.4859246069
26	0.482288862
27	0.4788500645
28	0.4753690509
29	0.4726773179
30	0.4700516469
31	0.4669992765
32	0.4649651864
33	0.4622978297
34	0.4611541297
35	0.4589987512
36	0.4569641314
37	0.454828013
38	0.4526228932
39	0.4504165985
40	0.4486943588
41	0.4468633177
42	0.4452164648
43	0.4435945523
44	0.4421888925
45	0.4406397032
46	0.4392907433
47	0.4381205813
48	0.4366741376
49	0.4352046785
50	0.4340102714
51	0.4327003952
52	0.4317147673
53	0.4305687685
54	0.4295208945
55	0.4282552971
56	0.4272381135
57	0.4260212365
58	0.4252112998
59	0.4241827528
60	0.42326941
61	0.4222232094
62	0.4214056209
63	0.4207490335
64	0.4199816756
65	0.4191373421
66	0.4184919277
67	0.4178037609
68	0.4171186575
69	0.4164049347
70	0.4155558296
71	0.414837047
72	0.4140356885
73	0.413297149
74	0.412640648
75	0.4120104428
76	0.4115512512
77	0.4108379384
78	0.4102392735
79	0.4096189655
80	0.4091325811
81	0.4086161108
82	0.408126863
83	0.4076749422
84	0.4072675118
85	0.4069198974
86	0.4064106009
87	0.4059041475
88	0.405443515
89	0.4050488733
90	0.4046071066
91	0.4040746543
92	0.4035947892
93	0.4031207263
94	0.4027058751
95	0.4023516435
96	0.4019631839
97	0.4016134648
98	0.4012633148
99	0.4009415613
100	0.400524597
101	0.4002285031
102	0.3998469386
103	0.3995517613
104	0.3992450485
105	0.3989482629
106	0.3986469709
107	0.3983621041
108	0.3980767678
109	0.3976968579
110	0.3973964534
111	0.3970043237
112	0.3968066232
113	0.3965212579
114	0.3962423277
115	0.3959816033
116	0.3957365426
117	0.3953759124
118	0.3950827998
119	0.3948111468
120	0.3946089559
121	0.3942702924
122	0.3939367208
123	0.3937980262
124	0.3935998473
125	0.3933550537
126	0.3931009875
127	0.3928565591
128	0.392564458
129	0.3922503031
130	0.3920099882
131	0.3916983905
132	0.3914714652
133	0.3912227925
134	0.3909792263
135	0.3907577003
136	0.3904850313
137	0.3902384933
138	0.3900121696
139	0.389621541
140	0.3894330575
141	0.3891822294
142	0.3888990836
143	0.3887515372
144	0.3885825636
145	0.3883508959
146	0.3881612247
147	0.3880506267
148	0.3878976902
149	0.3876273636
150	0.3874031527
151	0.3872227726
152	0.386998249
153	0.3867792169
154	0.3865792374
155	0.3864417495
156	0.3863013671
157	0.3861511485
158	0.3859016389
159	0.3856987125
160	0.3855563319
161	0.3853865
162	0.3852177609
163	0.3850410182
164	0.3849142799
165	0.3847479494
166	0.3845511098
167	0.3844404154
168	0.3842593294
169	0.3840709238
170	0.3838167958
171	0.3836018932
172	0.3834622605
173	0.383304298
174	0.3831815377
175	0.3830356687
176	0.3828610329
177	0.3826955178
178	0.3825005913
179	0.3823107011
180	0.382145201
181	0.3819609592
182	0.3817279288
183	0.3815866351
184	0.3813504688
185	0.3811979909
186	0.38098714
187	0.3808845238
188	0.3806938317
189	0.3805319043
190	0.3802761299
191	0.3802581582
192	0.3801382293
193	0.3800176536
194	0.3798929403
195	0.3797074784
196	0.3795955717
197	0.3793564923
198	0.3791871583
199	0.3790969838
200	0.3789390176
201	0.3787567713
202	0.3786181273
203	0.3784913074
204	0.3782567741
205	0.3781526327
206	0.3779546783
207	0.3778070129
208	0.3775956725
209	0.3774428854
210	0.3773417434
211	0.377160098
212	0.3770543446
213	0.3768060525
214	0.3766514544
215	0.3764778418
216	0.3763243179
217	0.3761851451
218	0.3760429465
219	0.3759123295
220	0.3757628553
221	0.3756160154
222	0.3754993342
223	0.3753223936
224	0.3751803139
225	0.3750866964
226	0.3749424312
227	0.3748901686
228	0.3748165897
229	0.3746970059
230	0.3744704528
231	0.374283793
232	0.3741079159
233	0.3739969076
234	0.3738743509
235	0.3736926862
236	0.3736293428
237	0.3735020965
238	0.3731662783
239	0.3729435557
240	0.3727504642
241	0.3725085759
242	0.372408472
243	0.3722946734
244	0.372090672
245	0.3719922122
246	0.3719474848
247	0.3718369145
248	0.3716289435
249	0.3714473741
250	0.3713145739
251	0.3711866513
252	0.371037088
253	0.3709654419
254	0.3707982002
255	0.3706224207
256	0.3704299095
257	0.3703388177
258	0.3702129259
259	0.3701258976
260	0.3700370206
261	0.3699019344
262	0.3697364867
263	0.3696610276
264	0.3696554388
265	0.3695003128
266	0.3693497982
267	0.3692056743
268	0.3690933812
269	0.3689754926
270	0.3688052241
271	0.3686766225
272	0.3686053841
273	0.3685064483
274	0.3682827069
275	0.3681804296
276	0.3680608279
277	0.3679185044
278	0.3677523123
279	0.3676111735
280	0.3674694754
281	0.3673667847
282	0.3672035291
283	0.3670643555
284	0.3668548603
285	0.3666931354
286	0.3666165675
287	0.3664511747
288	0.366399503
289	0.366211523
290	0.3661474018
291	0.3660878394
292	0.3659920016
293	0.365895404
294	0.3657169761
295	0.3655233803
296	0.3652938262
297	0.3651986787
298	0.3651855544
299	0.3650099803
300	0.3648052157
301	0.3647441953
302	0.3646780376
303	0.3645295578
304	0.3643800916
305	0.3642100387
306	0.3641629626
307	0.3640680362
308	0.3639072443
309	0.363757158
310	0.3636383801
311	0.3634922656
312	0.3633478477
313	0.3632698516
314	0.3631091283
315	0.3629558373
316	0.3627845294
317	0.3626763844
318	0.3625036111
319	0.3623858634
320	0.3623073281
321	0.3622007531
322	0.3621151893
323	0.3620284543
324	0.3618397138
325	0.3617761495
326	0.3616496828
327	0.3615800241
328	0.3614193712
329	0.3613065141
330	0.3611139675
331	0.3610113478
332	0.3609463053
333	0.3608076501
334	0.3606913577
335	0.3606065544
336	0.3604904386
337	0.3603874399
338	0.360303352
339	0.3601599251
340	0.3600147017
341	0.35989186
342	0.359742207
343	0.3595940216
344	0.3595288474
345	0.3594323016
346	0.3594289636
347	0.3592294819
348	0.3589615335
349	0.3588278765
350	0.3586241135
351	0.3584856941
352	0.3583631815
353	0.3582408942
354	0.3580343429
355	0.3579028024
356	0.3578111359
357	0.3576782642
358	0.3575401427
359	0.357389867
360	0.3572977912
361	0.3572730095
362	0.3571023687
363	0.3568758546
364	0.3567340523
365	0.3566522592
366	0.3565347573
367	0.3564119362
368	0.3563340069
369	0.3560852822
370	0.3559517475
371	0.3558706928
372	0.3557835146
373	0.3556489952
374	0.3555037301
375	0.3553802165
376	0.3552929615
377	0.3552334695
378	0.3551515465
379	0.355044821
380	0.3548917151
381	0.3547631896
382	0.3546068298
383	0.3544601579
384	0.3543571069
385	0.3541904989
386	0.3540609708
387	0.3539113474
388	0.3538262235
389	0.3536547571
390	0.3535130275
391	0.353367096
392	0.3532779947
393	0.3531457851
394	0.3530915113
395	0.3530012658
396	0.3528495248
397	0.352708274
398	0.3525288836
399	0.3523806894
400	0.3522593153
401	0.3521391824
402	0.3519600919
403	0.3518542838
404	0.351760909
405	0.3516105333
406	0.3515518988
407	0.3514104872
408	0.3513332297
409	0.3512148311
410	0.3510588406
411	0.350946558
412	0.3507485317
413	0.3506575322
414	0.3505314944
415	0.3504020574
416	0.3502575033
417	0.3501727696
418	0.3500955853
419	0.349965564
420	0.3499049224
421	0.3497984945
422	0.3497572557
423	0.349633228
424	0.3495663082
425	0.3494849663
426	0.3493655789
427	0.3492135799
428	0.3491779277
429	0.3490341892
430	0.3489138165
431	0.3487717454
432	0.3486193886
433	0.3485570967
434	0.3484354997
435	0.3483141647
436	0.3482139702
437	0.3480744273
438	0.3480086486
439	0.3478980247
440	0.3477766105
441	0.3476297496
442	0.3475357739
443	0.3473544096
444	0.3473007553
445	0.3472320612
446	0.3471255758
447	0.3469665295
448	0.3468105637
449	0.3466501819
450	0.3465810616
451	0.346510634
452	0.3464188126
453	0.3462207828
454	0.3460851234
455	0.3459896232
456	0.3458785534
457	0.345758972
458	0.3456656582
459	0.3455340984
460	0.3454610552
461	0.3453739501
462	0.3453164414
463	0.3452141112
464	0.3450457897
465	0.3448866689
466	0.3448097211
467	0.3447482546
468	0.3446327925
469	0.3445127869
470	0.3443169837
471	0.3442398503
472	0.3441884747
473	0.3440749656
474	0.3439723893
475	0.3438586754
476	0.3437231234
477	0.3435934023
478	0.343529777
479	0.3434031987
480	0.3433234941
481	0.343232573
482	0.3431625079
483	0.3430958982
484	0.342979398
485	0.3428141008
486	0.342687447
487	0.3426233291
488	0.342566277
489	0.3424469171
